ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,distance_meters,order_Drinks,order_Meal,order_Snack,vehicle_electric_scooter,vehicle_motorcycle,vehicle_scooter,Time_taken_min
8BC0,SURRES15DEL03,35,4.3,13682.044526080337,1,0,0,0,0,1,38
2288,BANGRES09DEL03,32,4.0,13973.18265391717,0,0,0,0,1,0,47
3C5E,PUNERES04DEL01,23,4.8,16853.618729854068,0,0,0,1,0,0,12
3E+60,COIMBRES02DEL03,31,4.8,4674.172124263597,1,0,0,0,1,0,26
BFF,SURRES16DEL02,36,4.1,7601.616771071132,1,0,0,0,1,0,22
D936,GOARES15DEL02,26,4.3,7720.324413180035,0,0,0,0,1,0,21
D681,GOARES07DEL01,38,4.9,6175.6362610176,1,0,0,0,0,1,25
2876,RANCHIRES02DEL01,32,3.5,17297.86575291325,0,0,1,0,0,1,35
30C8,PUNERES19DEL02,32,4.6,19914.68696554527,1,0,0,0,0,1,30
B843,PUNERES02DEL01,33,4.9,10724.517748045964,0,0,1,0,1,0,22
B3A0,PUNERES18DEL01,20,4.7,6127.835452843913,0,0,1,0,0,1,10
6531,SURRES08DEL01,20,4.8,1520.3573134015244,0,1,0,0,0,1,19
4BDA,HYDRES17DEL02,35,5.0,3073.4537599374084,0,0,1,0,0,1,11
9D26,BANGRES17DEL02,26,4.9,3105.13147754577,0,0,0,0,0,1,11
9B18,BANGRES17DEL01,22,4.8,10867.42683448041,0,0,1,0,1,0,28
5D99,CHENRES11DEL01,35,4.3,10865.464603780305,0,0,1,0,1,0,33
4F0,MUMRES17DEL02,29,4.6,12236.723616598822,1,0,0,0,0,1,33
B796,SURRES17DEL03,37,4.7,13682.516298591963,0,0,1,0,1,0,52
85B4,MUMRES07DEL01,28,4.6,16826.241648658564,0,0,1,0,0,1,22
C644,KOLRES16DEL02,37,4.9,3027.2369309751475,0,0,1,0,0,1,16
6999,MUMRES02DEL03,23,4.9,9175.193844437283,1,0,0,1,0,0,11
63B6,BANGRES05DEL03,27,4.9,9315.069177421467,1,0,0,0,0,1,25
A30B,CHENRES11DEL01,37,4.8,6209.02110153533,1,0,0,0,1,0,26
3556,SURRES09DEL01,33,5.0,1520.3447277394996,0,0,1,0,0,1,18
5554,RANCHIRES15DEL01,31,4.9,6037.2253924444885,0,0,1,0,1,0,16
25FD,BANGRES19DEL01,31,4.8,17078.665498349925,1,0,0,0,0,1,23
C1FF,AURGRES20DEL03,25,5.0,4717.601092054723,0,0,1,0,1,0,15
7AC8,COIMBRES14DEL02,28,4.8,12464.329297636856,1,0,0,0,1,0,36
3DA1,SURRES08DEL03,31,4.7,9121.425981980741,0,0,1,0,1,0,16
272D,COIMBRES07DEL03,24,4.7,14023.232083084129,0,0,0,0,1,0,19
DDC5,AGRRES12DEL03,39,4.6,13392.612276663753,0,0,1,0,1,0,27
8E6C,VADRES02DEL02,39,4.2,12580.267822400961,0,0,1,0,0,1,49
B002,JAPRES14DEL01,32,4.5,1489.9271643867567,0,0,0,0,0,1,20
395B,VADRES04DEL03,36,4.7,9435.201537430712,0,0,1,0,1,0,30
8AA2,JAPRES18DEL02,25,4.8,11916.582838287255,1,0,0,0,0,1,18
B55A,MYSRES04DEL03,33,4.9,4663.566689152346,1,0,0,0,0,1,22
73CC,SURRES12DEL01,30,4.4,10641.157729337487,1,0,0,0,0,1,34
BE80,MUMRES04DEL01,33,5.0,16818.36892373306,0,0,0,0,1,0,24
1609,PUNERES02DEL01,36,4.9,6128.5512579188735,1,0,0,0,0,1,17
D255,ALHRES07DEL02,21,4.8,2996.2500366667464,0,1,0,1,0,0,14
DE72,DEHRES19DEL02,39,4.9,7342.175722857833,0,1,0,0,1,0,30
98AA,VADRES16DEL02,23,4.8,3145.067434621583,0,1,0,0,0,1,15
273A,VADRES09DEL01,35,4.8,6290.134677634678,0,0,0,0,0,1,16
A258,CHENRES12DEL03,39,4.6,13972.123977178395,0,0,1,0,0,1,36
8B53,SURRES11DEL01,22,4.7,6081.440797007701,0,0,0,0,0,1,18
BBDE,SURRES01DEL01,32,4.6,6080.891507841841,0,1,0,0,0,1,17
5DED,VADRES15DEL02,24,4.8,12580.267822400961,0,0,0,0,1,0,15
1A70,MYSRES14DEL02,29,4.7,3145.067434621583,0,0,0,0,1,0,17
A9F,BANGRES13DEL01,29,4.6,6210.5896103137675,1,0,0,0,0,1,19
4B7F,HYDRES13DEL03,26,4.7,9220.373067021595,0,0,0,0,1,0,10
C606,BHPRES12DEL02,20,4.5,7862.668167410368,1,0,0,0,1,0,27
B962,CHENRES11DEL03,35,4.1,13969.606427684226,0,0,0,0,1,0,37
633C,BANGRES010DEL03,39,4.6,13973.206773138321,1,0,0,0,0,1,44
2DC6,VADRES20DEL01,34,4.7,6058.853851668898,1,0,0,1,0,0,28
903A,BANGRES11DEL01,27,4.7,17077.992872161558,0,0,1,0,0,1,42
C444,DEHRES01DEL01,30,4.8,17297.86575291325,0,0,1,0,1,0,25
1FB7,CHENRES02DEL01,25,4.4,17072.87190639919,0,0,1,0,0,1,39
34D7,MUMRES04DEL01,25,4.7,16818.36892373306,0,1,0,0,1,0,20
156B,JAPRES03DEL02,30,5.0,2979.502850576382,0,0,0,0,1,0,31
56AD,HYDRES04DEL03,24,4.6,9220.86597503729,0,0,0,0,1,0,13
837C,PUNERES14DEL02,39,4.8,7661.33113422064,0,1,0,0,1,0,28
CBC4,GOARES04DEL01,25,4.8,6175.516093406556,0,0,1,0,0,1,19
C19E,AURGRES08DEL02,37,4.6,12209.856560906877,0,0,0,0,1,0,42
1D60,BANGRES12DEL01,24,5.0,1552.6813140975844,1,0,0,0,1,0,23
95FB,HYDRES05DEL01,25,4.2,16902.806732498597,0,1,0,0,1,0,39
8195,RANCHIRES17DEL01,32,4.6,1509.3577696342254,1,0,0,0,1,0,25
C042,AGRRES010DEL01,34,4.7,6048631.240095336,1,0,0,0,0,1,15
6D19,INDORES12DEL02,38,4.9,3025.118639018018,1,0,0,0,0,1,15
3.5E+07,JAPRES15DEL03,36,4.8,13407.092693002163,0,0,0,1,0,0,15
B437,SURRES16DEL01,25,5.0,16721.976048741657,0,1,0,0,1,0,15
9.7E+04,MYSRES16DEL02,29,5.0,7772.343594464189,1,0,0,0,1,0,18
A3E0,MUMRES05DEL03,36,4.7,13773.737657079213,1,0,0,1,0,0,29
4161,COIMBRES19DEL02,33,4.7,7790.158927085036,0,0,1,0,1,0,20
1236,MYSRES07DEL01,36,4.4,6217.834398579603,0,1,0,0,0,1,39
2558,PUNERES17DEL01,21,4.8,16852.834881459734,0,0,1,0,1,0,19
3185,HYDRES19DEL03,25,4.8,4610.035602261126,0,0,1,0,0,1,19
3C57,MUMRES14DEL02,23,4.8,19879.87067737402,0,1,0,0,1,0,17
4863,COIMBRES02DEL01,25,4.6,1558.0833985943423,0,0,1,0,1,0,15
6757,INDORES05DEL02,24,4.3,3025.332706173183,0,1,0,0,1,0,19
22AD,BANGRES03DEL03,27,4.6,13971.948960174703,0,0,0,0,1,0,29
9F99,MUMRES11DEL01,23,4.8,16830.905551931515,0,0,1,0,0,1,22
6781,MYSRES12DEL02,21,4.3,20207.79793335838,1,0,0,0,0,1,42
1B8D,SURRES09DEL02,27,4.7,3040.641621538215,0,0,1,0,0,1,12
1AEA,COIMBRES12DEL02,32,4.2,20253.785359470156,0,0,1,0,1,0,38
1E+42,SURRES08DEL01,25,4.6,16721.296009802852,1,0,0,0,1,0,23
DDC8,KNPRES05DEL02,39,4.7,2984.550789786577,0,1,0,0,0,1,15
24AC,SURRES05DEL02,27,4.6,12161.450531436996,0,0,1,0,1,0,24
3F01,MUMRES15DEL01,39,3.8,16822.155609316786,1,0,0,0,1,0,37
628C,BANGRES15DEL02,31,4.8,7762.556904358387,0,0,1,0,0,1,24
6C38,RANCHIRES11DEL03,31,4.8,9055.855161965688,0,0,0,1,0,0,13
4BEB,MYSRES08DEL01,20,4.8,1554.5816630915406,1,0,0,0,1,0,16
8339,RANCHIRES07DEL02,36,4.9,12074.047498027545,1,0,0,0,1,0,42
3EC5,RANCHIRES01DEL03,20,4.9,13580.37387628081,0,1,0,0,1,0,17
ADB4,JAPRES17DEL03,24,4.6,4469.620875558469,1,0,0,0,1,0,25
6E+02,VADRES06DEL01,29,4.6,16659.83831917015,0,0,1,1,0,0,25
2BC0,INDORES14DEL01,39,4.2,16634.870118211384,0,0,1,0,0,1,39
9.9E+08,COIMBRES17DEL01,37,4.8,6232.139486668676,0,1,0,0,0,1,18
39EF,CHENRES11DEL01,32,4.9,6209.02110153533,1,0,0,0,1,0,28
E264,KNPRES17DEL02,22,4.5,7460.830127736771,1,0,0,0,0,1,18
BD03,COIMBRES12DEL02,23,4.9,20253.785359470156,0,1,0,0,0,1,18
9A29,RANCHIRES04DEL01,33,4.7,16600.975700595012,0,0,1,0,0,1,49
D0E5,KOLRES17DEL03,23,4.6,4540.321372891643,1,0,0,0,1,0,15
A480,BANGRES19DEL02,27,4.6,12421.212735966272,1,0,0,0,1,0,21
B46C,MUMRES17DEL01,34,4.7,6118.711846690412,0,0,1,0,0,1,23
7150,SURRES14DEL01,26,5.0,1520.4319479995731,0,1,0,0,0,1,11
1E+58,VADRES14DEL03,31,4.6,9087.972744660556,0,0,1,0,1,0,25
4460,PUNERES09DEL02,32,4.9,3064.487105761538,0,0,1,0,1,0,18
977D,INDORES19DEL02,27,4.7,3025.144329113472,0,0,0,0,1,0,14
1602,BANGRES010DEL03,21,4.9,13973.206773138321,1,0,0,0,1,0,36
894E,BANGRES12DEL02,28,4.8,7763.1027847272,1,0,0,0,1,0,18
5A01,VADRES04DEL01,24,4.9,6290.134677634678,0,1,0,0,0,1,17
655,HYDRES14DEL01,33,4.4,1536.8503798527686,0,0,1,0,1,0,28
20F6,BANGRES11DEL03,20,4.6,13973.17756157621,0,0,0,0,1,0,44
3DB1,COIMBRES13DEL03,31,4.3,9348.403522661769,0,0,1,0,1,0,20
1EC7,PUNERES05DEL03,29,4.6,4596.576884052145,0,0,1,0,0,1,19
8ED2,VADRES20DEL01,36,5.0,10602.467987619453,0,0,1,0,1,0,35
64CC,CHENRES19DEL01,31,4.2,17076.258901182708,0,1,0,0,1,0,50
2ED0,HYDRES02DEL03,39,4.1,9220.83460710919,0,1,0,0,0,1,34
4008,SURRES010DEL02,29,4.6,12161.605446009546,0,1,0,1,0,0,17
7553,SURRES03DEL01,29,4.6,6080.8829675939205,0,0,1,0,0,1,23
35D8,COIMBRES17DEL03,37,4.9,4674.143698976654,0,0,0,0,1,0,27
9832,VADRES08DEL01,33,4.7,6290.134677634678,0,0,1,0,1,0,26
4C88,MUMRES08DEL01,31,3.9,10709.00337153546,0,0,0,0,0,1,35
9693,VADRES18DEL01,37,4.6,6290.134677634678,1,0,0,0,1,0,41
81A5,BANGRES04DEL03,26,4.4,9314.884732862103,0,0,0,0,1,0,23
AE56,COIMBRES02DEL01,24,4.6,17137.482577838095,0,0,1,0,1,0,30
8D18,RANCHIRES12DEL02,23,4.8,3145.067434621583,0,0,0,0,0,1,19
9CBA,VADRES18DEL01,36,4.9,1572.5337292863205,0,0,0,0,0,1,27
9B79,MYSRES13DEL01,39,4.8,6218.002348694166,0,0,1,0,1,0,28
596A,COIMBRES03DEL02,20,4.7,12463.88302416693,1,0,0,0,1,0,24
78AA,MYSRES16DEL02,20,5.0,20206.581510508302,0,1,0,0,1,0,36
D7EC,KOLRES04DEL03,29,4.3,9081.116432460674,0,0,0,0,1,0,28
55B1,COIMBRES11DEL01,36,4.8,17138.077427627362,1,0,0,0,1,0,31
8.7E+05,VADRES13DEL03,36,4.0,13631.34369814336,0,1,0,0,1,0,44
82C3,RANCHIRES04DEL02,22,4.8,12074.063090453254,1,0,0,0,0,1,15
5397,PUNERES18DEL01,38,4.4,10723.26417216742,0,0,0,0,1,0,33
876B,SURRES01DEL02,39,4.9,7600.994631258499,0,0,0,0,1,0,30
3A5A,INDORES08DEL02,24,4.9,7562.982485199944,0,0,1,0,0,1,22
5.1E+05,VADRES18DEL01,30,4.1,11007.734763744618,0,0,1,0,1,0,43
5631,HYDRES18DEL03,35,4.8,13829.314445199007,0,1,0,0,1,0,48
1DAC,CHENRES07DEL03,33,4.5,13969.116967729818,1,0,0,1,0,0,19
DE01,KOCRES010DEL01,39,4.7,10923.267458246297,0,0,1,0,1,0,21
8771,VADRES11DEL02,31,4.3,12117.036432265766,1,0,0,0,1,0,44
3645,CHENRES20DEL01,37,4.5,1552.5704156530521,1,0,0,0,0,1,26
1FF1,MYSRES04DEL03,37,4.7,4663.566689152346,0,0,0,0,0,1,26
4A3C,MUMRES13DEL01,33,5.0,1529.4972211336797,0,1,0,0,1,0,31
6E0D,RANCHIRES03DEL03,24,4.6,9435.201537430712,0,1,0,0,0,1,19
6CC6,JAPRES08DEL02,33,4.5,11916.757259074871,0,0,1,0,0,1,18
C141,ALHRES12DEL01,39,4.7,10486.117701549048,0,1,0,0,1,0,38
690F,RANCHIRES11DEL03,37,4.6,13583.078662316937,0,0,1,0,1,0,32
B4BA,HYDRES19DEL02,25,4.9,7683.191405131542,0,1,0,0,0,1,17
63A9,PUNERES17DEL03,28,4.8,9193.093962702367,0,0,0,0,0,1,11
88DD,MYSRES010DEL01,38,4.7,6217.883647558787,0,0,0,0,1,0,31
1B58,JAPRES03DEL01,29,4.6,10427.235657896192,1,0,0,0,1,0,43
87A8,MYSRES04DEL03,31,4.6,9326.8725291157,0,1,0,0,1,0,25
3F8D,MUMRES06DEL03,25,4.8,9179.538450825505,0,0,1,0,1,0,22
290C,MYSRES18DEL01,35,4.9,10880.65184853536,1,0,0,0,1,0,43
7ECE,RANCHIRES18DEL01,39,4.7,10565.262855251573,0,0,0,0,1,0,42
1365,INDORES06DEL02,38,3.9,12100.062421151955,0,1,0,0,1,0,42
33A4,CHENRES15DEL03,35,4.7,4657.159718108008,1,0,0,0,1,0,34
8F3C,JAPRES07DEL02,29,4.7,2981.217855191716,0,0,1,0,1,0,17
2FE1,SURRES18DEL03,27,4.6,4561.265632840908,0,0,1,0,0,1,25
4B5B,MYSRES04DEL03,38,4.3,13989.916877276224,0,1,0,0,1,0,54
7405,SURRES19DEL01,36,4.9,10642.28895373847,0,0,0,0,1,0,21
6245,HYDRES04DEL01,26,4.0,6147.404652636228,0,0,0,0,1,0,34
D02B,KNPRES16DEL03,26,4.1,13428.477357470478,0,1,0,0,1,0,36
1F0E,MYSRES12DEL03,36,4.9,9327.285157960467,1,0,0,0,1,0,17
7085,JAPRES09DEL01,21,4.7,1489.792976782923,0,1,0,0,1,0,16
57FA,CHENRES04DEL02,35,4.7,12418.394742110715,0,1,0,1,0,0,27
57FC,MYSRES09DEL01,20,4.5,6217.86068914486,0,1,0,0,1,0,26
7A1F,PUNERES19DEL03,23,4.6,13787.803344502167,0,0,1,0,1,0,46
CEAC,KOLRES18DEL03,37,5.0,9080.187058762698,0,0,0,0,1,0,29
A0A5,BANGRES14DEL03,26,4.8,9315.441635500325,0,0,1,0,1,0,23
892D,SURRES09DEL02,29,5.0,12161.417162420865,0,0,1,0,0,1,11
6118,INDORES09DEL01,26,4.9,16636.8750388607,0,0,1,0,1,0,28
46FD,PUNERES09DEL03,29,4.8,9192.951167083816,0,1,0,0,1,0,25
5134,RANCHIRES01DEL02,29,4.7,3018.226484999582,0,0,1,0,1,0,11
D418,LUDHRES010DEL03,21,4.9,4395.42024682928,0,1,0,0,0,1,26
256C,MYSRES13DEL02,22,4.3,3109.059104393339,0,1,0,0,1,0,23
6055,JAPRES18DEL02,31,4.0,11916.582838287255,0,0,1,0,1,0,39
7BFB,COIMBRES11DEL02,20,4.5,3116.2485097897916,0,0,1,0,1,0,11
7220,VADRES13DEL02,30,3.9,12116.950608888648,1,0,0,1,0,0,32
1568,BANGRES01DEL01,36,4.8,10868.263117988305,0,0,1,0,1,0,43
41EA,MYSRES08DEL01,24,4.7,6218.153086065569,0,0,0,0,0,1,13
1C60,MYSRES15DEL01,32,4.7,1554.424975889943,0,0,0,1,0,0,25
7944,CHENRES02DEL03,25,5.0,9313.017158715258,1,0,0,0,1,0,27
77EE,HYDRES12DEL01,27,4.5,6147.106622705237,1,0,0,0,0,1,29
2192,BANGRES07DEL01,32,4.1,10867.300462045638,0,0,0,0,1,0,33
48C7,CHENRES09DEL01,23,4.7,6209.259882042438,1,0,0,0,1,0,19
78BF,BANGRES04DEL02,39,4.4,20180.85916835192,0,1,0,0,1,0,33
7A5A,VADRES04DEL03,20,4.8,9435.201537430712,0,0,1,0,1,0,28
4321,JAPRES13DEL02,20,4.8,11919.755989352518,1,0,0,1,0,0,15
E00D,ALHRES07DEL03,29,4.6,4494.291162003691,0,1,0,0,0,1,29
1E+86,JAPRES06DEL03,26,4.9,20851.726357533593,0,1,0,0,0,1,18
CFF0,KOCRES03DEL01,25,5.0,1560.5734793802433,0,1,0,0,1,0,14
1E2D,BANGRES13DEL01,34,4.7,6210.5896103137675,0,0,1,0,1,0,30
D072,GOARES02DEL01,31,4.9,6175.283575307921,0,0,1,0,1,0,28
9A57,RANCHIRES03DEL02,24,4.7,20442.92976252901,0,0,1,0,1,0,39
427B,HYDRES12DEL03,30,4.9,13830.084721845129,0,1,0,0,1,0,30
5.2E+03,JAPRES07DEL02,36,4.8,19373.745834955247,0,0,0,0,1,0,36
9395,JAPRES13DEL03,36,4.4,20857.115324129347,0,0,1,0,1,0,37
B5D2,JAPRES18DEL03,26,4.7,20851.55740266031,0,1,0,0,1,0,43
6C4D,VADRES05DEL01,30,4.6,16659.963190056955,0,0,0,0,0,1,29
D1C8,AURGRES02DEL03,20,4.8,4717.601092054723,1,0,0,0,0,1,25
98CA,BANGRES17DEL02,33,4.7,7762.60023979046,0,0,0,1,0,0,15
1B5B,RANCHIRES14DEL01,29,4.6,11007.734763744618,0,0,1,0,0,1,24
644B,MUMRES20DEL03,34,4.0,13766.855008587,0,0,1,0,1,0,39
7A2D,HYDRES14DEL02,36,4.6,12293.67767357356,0,0,0,0,1,0,20
E13F,KNPRES02DEL02,33,4.6,2984.637269285578,0,0,0,0,1,0,15
C278,AURGRES19DEL01,22,4.8,16788.275862514016,1,0,0,0,1,0,16
5912,PUNERES18DEL01,38,4.7,1532.0227740635555,1,0,0,0,0,1,19
AB33,BANGRES08DEL02,27,4.9,12421.407858788074,1,0,0,0,0,1,20
DD96,KNPRES16DEL01,32,4.8,10444.776155165613,0,1,0,0,0,1,25
7646,BANGRES010DEL02,26,4.8,12420.75005031394,0,0,1,0,1,0,43
5EF5,INDORES03DEL02,29,4.5,19659.373527444088,1,0,0,0,1,0,15
7EF7,COIMBRES16DEL02,31,4.5,12464.18980459395,0,0,0,0,1,0,29
1136,HYDRES20DEL01,28,4.6,6146.243658393976,1,0,0,0,1,0,14
D032,AGRRES08DEL03,21,4.8,8929.086888936337,0,0,0,0,1,0,11
199D,COIMBRES15DEL02,21,4.0,7790.362124533636,0,0,0,0,1,0,19
871C,RANCHIRES12DEL02,30,4.9,12580.267822400961,1,0,0,0,1,0,29
CF18,ALHRES05DEL01,29,4.7,5992.096714696384,0,0,0,0,1,0,11
1DAD,MUMRES01DEL01,20,4.8,1529.7232853102503,0,0,1,0,1,0,14
C918,AURGRES14DEL03,28,5.0,13735.94217639658,0,0,1,0,1,0,15
33C1,MUMRES13DEL01,25,4.7,10705.559922396493,0,1,0,0,1,0,16
1B50,PUNERES16DEL01,29,4.6,16852.56546542981,0,0,0,0,1,0,43
27FE,CHENRES14DEL02,38,4.8,3104.80375328542,0,0,0,0,1,0,20
1536,HYDRES06DEL03,39,4.9,4610.073053799367,1,0,0,0,1,0,26
A152,SURRES18DEL03,26,4.9,9122.100805601538,0,0,1,0,0,1,26
9C9A,COIMBRES02DEL01,33,4.4,10906.036622245398,0,1,0,0,1,0,43
3052,VADRES13DEL03,24,4.6,9088.013799330725,0,0,1,0,1,0,25
1045,COIMBRES16DEL01,24,4.9,6232.303380307374,0,0,0,0,1,0,28
2391,INDORES13DEL03,33,4.5,13611.566722125015,0,0,0,0,0,1,17
7DDD,INDORES12DEL03,35,4.2,13611.428630407518,1,0,0,0,1,0,44
279F,MUMRES13DEL03,27,4.2,13763.896210757894,0,0,0,0,1,0,33
E76,CHENRES06DEL02,29,4.6,7761.350404897176,0,0,1,0,0,1,19
AEFA,BANGRES06DEL03,29,4.5,4657.591594951663,0,0,1,0,1,0,15
DAD6,AGRRES11DEL02,34,4.7,19343.487217443104,0,0,0,0,0,1,27
C237,KNPRES15DEL02,20,4.7,2984.5125598688214,0,1,0,0,0,1,25
4EFC,VADRES13DEL01,29,4.8,6058.876303739538,1,0,0,0,1,0,18
6E+33,VADRES01DEL03,22,4.9,9088.08409216373,0,0,1,0,0,1,21
D92F,AGRRES03DEL01,35,4.9,10417.065790358763,0,0,0,0,1,0,53
D902,KOCRES14DEL01,32,4.4,17164.833902683993,1,0,0,0,1,0,42
D91A,LUDHRES18DEL01,28,4.9,16113.872411826254,0,0,1,0,1,0,20
4F0C,COIMBRES14DEL02,30,4.7,20253.686339517655,0,1,0,0,0,1,29
8456,CHENRES19DEL01,22,4.7,17076.258901182708,0,0,1,0,0,1,15
3329,COIMBRES15DEL02,36,4.7,7790.362124533636,0,0,0,0,1,0,30
1AA8,SURRES20DEL02,23,4.8,19762.189817859562,0,0,1,0,1,0,28
144D,INDORES18DEL02,22,4.8,3025.0598092769924,1,0,0,0,1,0,19
D27B,AURGRES04DEL02,29,4.5,19839.56144193532,0,1,0,0,1,0,15
ADD6,CHENRES01DEL01,34,4.9,17075.594401072463,0,0,0,0,1,0,50
7C60,BANGRES010DEL01,38,4.1,1552.7001159062177,0,0,0,0,1,0,41
4FB8,VADRES09DEL01,35,5.0,11007.734763744618,0,0,1,0,1,0,37
1406,VADRES15DEL03,38,4.7,9435.201537430712,1,0,0,0,0,1,28
C63E,DEHRES010DEL01,32,4.3,10280.572823486369,0,1,0,0,0,1,35
7B03,BANGRES07DEL01,20,4.5,10867.300462045638,0,0,0,0,1,0,27
4314,CHENRES05DEL02,25,4.9,12417.68756419937,0,0,0,0,1,0,43
9E5A,JAPRES06DEL03,29,4.5,8937.860881830986,0,1,0,0,0,1,12
C044,AGRRES12DEL03,32,4.7,6047919.477618645,0,1,0,0,0,1,31
D7D3,DEHRES12DEL02,39,4.1,20442.92976252901,1,0,0,0,1,0,39
70B1,VADRES01DEL01,31,4.4,16660.108123692735,0,0,0,0,1,0,47
5.9E+06,SURRES13DEL02,37,4.5,7601.385733165002,0,0,0,0,1,0,26
DEAC,LUDHRES05DEL03,36,4.9,13183.763612802506,0,0,1,1,0,0,31
A053,JAPRES16DEL03,37,3.8,20856.833724898246,0,0,1,0,1,0,42
4DB,PUNERES02DEL03,29,4.6,16612239.054612841,0,1,0,0,0,1,12
7031,COIMBRES14DEL01,38,4.9,6232.3730045082075,0,0,1,0,0,1,25
D3BC,AGRRES010DEL02,37,4.4,11904.865487130734,1,0,0,0,1,0,39
8DE9,SURRES14DEL03,21,4.9,13682.164847733418,0,0,0,0,0,1,21
7C84,JAPRES04DEL03,35,4.9,4469.3622267046685,0,1,0,1,0,0,18
96D2,JAPRES01DEL03,22,4.8,13406.355455305173,0,0,1,0,0,1,22
77B5,HYDRES010DEL02,28,4.8,3073.6440277233705,0,0,0,0,1,0,23
75DC,MYSRES16DEL02,39,4.0,20206.581510508302,1,0,0,0,1,0,48
BE78,BANGRES15DEL02,29,4.5,12419.724873245672,0,0,1,0,0,1,13
35A2,CHENRES15DEL02,39,4.6,3104.80371051839,1,0,0,0,1,0,32
416F,MYSRES05DEL02,25,4.9,20206.316416481208,0,0,1,1,0,0,16
A4F5,COIMBRES03DEL03,34,5.0,4674.151774555243,0,0,1,1,0,0,19
A4EB,BANGRES01DEL02,22,4.8,3105.3699758611256,1,0,0,0,1,0,18
D4DA,KNPRES12DEL01,27,5.0,10444.39086222839,0,0,0,0,1,0,27
B59B,MUMRES010DEL01,28,4.5,10710.903359654141,1,0,0,0,1,0,25
4F73,COIMBRES20DEL03,32,5.0,4674.3931327412665,1,0,0,0,0,1,31
6A7,RANCHIRES08DEL01,29,4.6,16601.27679034639,1,0,0,0,0,1,39
ADAE,HYDRES16DEL01,27,4.6,10756.697879102663,0,0,1,0,1,0,20
B785,MUMRES01DEL02,35,3.9,12236.561539555196,0,0,1,0,1,0,38
8366,MYSRES08DEL03,22,4.6,4663.65822992199,0,0,0,0,1,0,19
BFF2,AURGRES16DEL03,35,4.7,4717.601092054723,1,0,0,1,0,0,17
8F58,VADRES11DEL01,30,4.6,1514.804895193716,0,0,0,0,1,0,24
247C,MYSRES09DEL02,39,4.8,3108.988329766482,1,0,0,0,0,1,26
43B9,HYDRES18DEL03,33,4.8,9219.905581617373,0,1,0,0,1,0,28
9E8A,PUNERES05DEL02,20,4.7,12256.687342592544,0,0,1,0,0,1,16
47AF,VADRES04DEL03,20,4.7,4717.601092054723,0,0,0,0,1,0,17
1B40,MYSRES02DEL03,34,4.2,9326.940869812668,0,0,1,0,1,0,24
B4FB,MYSRES03DEL01,22,4.7,10881.431823102692,0,1,0,0,1,0,24
B50,JAPRES16DEL02,37,4.3,2980.249384918674,0,1,0,0,0,1,34
3376,MUMRES010DEL01,20,4.8,1530.259489433465,0,0,1,0,1,0,16
BECB,SURRES15DEL02,33,4.9,7601.614738321658,1,0,0,0,1,0,26
